address,bing_type,bing_confidence,bing_latitude,bing_longitude,mapquest_type,mapquest_class,mapquest_latitude,mapquest_longitude
"135 MOTT STREET, New York, NY, 10013",Address,High,40.71854782104492,-73.99699401855469,house,place,40.71851875,-73.9969128513064
"312 W 34TH ST, New York, NY, 10001",Address,High,40.752455815672874,-73.99421274662018,cinema,amenity,40.7524154,-73.9944494
"7160 YELLOWSTONE BLVD, New York, NY, 11375",RoadBlock,Medium,40.72896957397461,-73.8493423461914,tertiary,highway,40.71839,-73.8565499
"2367 GRAND CONCOURSE, New York, NY, 10468",Address,High,40.85911989212036,-73.89921024441719,house,place,40.85912475,-73.89905675
"66-01 FLEET STREET, New York, NY, 11375",Address,High,40.720596,-73.857795,tertiary,highway,40.7196505,-73.8578431
"93 CHURCH AVENUE, New York, NY, 11218",Address,High,40.64291763305664,-73.97988891601562,house,place,40.64281645,-73.9798643965535
"15 CENTRAL PARK WEST, New York, NY, 10023",Address,High,40.769733,-73.98088,house,place,40.7697087,-73.9810784629664
"135 WESTCHESTER SQUARE, New York, NY, 10461",Address,High,40.839744567871094,-73.84266662597656,secondary,highway,40.840505,-73.8433039
"960 ATLANTIC AVE, New York, NY, 11238",Address,High,40.680389404296875,-73.96241760253906,house,place,40.6806058181818,-73.9624072727273
"11733 MYRTLE AVE, New York, NY, 11418",Address,High,40.70014953613281,-73.8315658569336,primary,highway,40.702838,-73.8698189
"4020 BROADWAY, New York, NY, 10032",Address,High,40.8419718593359,-73.93898069858551,house,place,40.8420653684211,-73.9391851052631
"580 ALBANY AVENUE, New York, NY, 11203",Address,High,40.66043472290039,-73.94009399414062,house,place,40.66043265,-73.9400998394472
"95 GREENWICH AVENUE, New York, NY, 10014",Address,High,40.7374307513237,-74.00168068706989,house,place,40.7374125,-74.0017655
"3932 AMBOY RD, New York, NY, 10308",Address,High,40.55112838745117,-74.14945220947266,house,place,40.55113605,-74.1494413129078
"63 BAYARD STREET, New York, NY, 10013",Address,High,40.71527862548828,-73.99811553955078,house,place,40.71530845,-73.9980922070803
"557 8TH AVE, New York, NY, 10018",Address,High,40.75474548339844,-73.99200439453125,house,place,40.7547,-73.9918572
"852 EIGHTH AVE, New York, NY, 10019",Address,High,40.763023376464844,-73.9852066040039,,,,
"9536 QUEENS BLVD, New York, NY, 11374",Address,High,40.730098724365234,-73.863525390625,trunk,highway,40.7266949,-73.8524594
